ID,X_Coordinate,Area,Equivalent_Diameter
4919,1861,514,9.336542017013397
4920,2262,344,7.638071470006557
4921,13631,1243,14.51911218132821
4922,1508,394,8.17433830223088
4923,1659,56,3.0817578435363155
4924,2116,28,2.17913186913936
4925,13306,371,7.932159735283897
4926,7259,1743,17.193060446526104
4927,5200,560,9.74537398266357
4928,1748,204,5.881926322679851
4929,16865,605,10.129364139496992
4930,2384,145,4.958935934788135
4931,1351,360,7.813682260523085
4932,6842,923,12.511383807728569
4933,1699,124,4.585802419207458
4934,15082,954,12.719753171398212
4935,1920,112,4.35826373827872
4936,2190,55,3.05411820141752
4937,1040,1432,15.583894716338085
4938,2382,386,8.090924504379974
4939,5536,370,7.921462279660952
4940,2877,5862,31.53024922399643
4941,10373,515,9.345619843189876
4942,14778,179,5.509738815609935
4943,6151,486,9.07867838026867
4944,15467,351,7.715393036437147
4945,1238,664,10.61178729199887
4946,4010,70,3.445510014170181
4947,2464,544,9.605145463473782
4948,2669,3115,22.98441856932086
4949,1438,14000,48.72686991331785
4950,1724,21947,61.00874317783985
4951,1820,2330,19.87844721966501
4952,7135,39,2.5717976788123824
4953,2585,1590,16.42113073356475
4954,1390,454,8.774702944110855
4955,1787,28,2.17913186913936
4956,2158,316,7.320622929630328
4957,1400,396,8.195059091626764
4958,4279,226,6.190970235813287
4959,2052,701,10.90343918199381
4960,14004,1658,16.76859824167292
4961,1727,369,7.9107503582228835
4962,8315,91,3.9284858450898232
4963,11307,47,2.823276579523741
4964,2259,68,3.395931745752758
4965,2097,360,7.813682260523085
4966,1239,767,11.405180909626711
4967,1771,336,7.548734227483811
4968,13878,228,6.2183035706422105
4969,1625,1881,17.860717208372645
4970,2172,442,8.657961119211262
4971,10771,744,11.232875988278952
4972,1468,126,4.622636765304473
4973,1251,32,2.329589958548512
4974,1462,495,9.16235460425256
4975,1753,127,4.640944309287973
4976,2160,605,10.129364139496992
4977,2564,68,3.395931745752758
4978,1278,106,4.239917723799404
4979,15173,361,7.824527071100269
4980,1940,673,10.683462467399744
4981,1997,397,8.205399864310227
4982,2318,841,11.942699213784625
4983,2201,33,2.365709786287801
4984,2353,203,5.8674921258972565
4985,10255,652,10.51546045187822
4986,14961,71,3.470033526598096
4987,2661,223,6.149742450446408
4988,1652,449,8.726250321160208
4989,2612,4450,27.471634642968983
4990,3455,790,11.574921174443189
4991,1353,390,8.13273834618129
4992,1452,1058,13.395142261653945
4993,1939,701,10.90343918199381
4994,2541,1249,14.554112100770698
4995,1709,31,2.292901209603729
4996,9770,578,9.900757323831176
4997,2377,62,3.2426519878032685
4998,2405,84,3.7743671137419055
4999,1785,38,2.538611802300018
5000,3731,355,7.7592308496766655
5001,2291,122,4.548669804687227
5002,6648,1130,13.843430293956414
5003,1614,2084,18.799805399123816
5004,16745,483,9.050614392319137
5005,1310,50,2.91198744818564
5006,7488,446,8.697049178522862
5007,2490,1584,16.390118183253527
5008,2637,644,10.450749311473912
5009,2371,391,8.143158258649736
5010,4568,31,2.292901209603729
5011,13776,606,10.137732058428822
5012,1843,28,2.17913186913936
5013,1413,328,7.458326963431081
5014,1587,1547,16.1975620880492
5015,15848,199,5.809396713566311
5016,2133,675,10.69932507816613
5017,9562,178,5.4943269285937975
5018,1548,103,4.179488252248698
5019,3731,355,7.7592308496766655
5020,1317,46,2.793080239899932
5021,6996,758,11.33806909573245
5022,2090,1007,13.068304094012698
5023,1426,25,2.0590860713421764
5024,1495,2040,18.60028420896684
5025,1643,215,6.038425694092797
5026,1674,68,3.395931745752758
5027,14722,1713,17.044457309602613
5028,2888,59,3.163228044277087
5029,1371,349,7.693380457950016
5030,5865,2263,19.59055652249736
5031,11779,203,5.8674921258972565
5032,2290,43,2.700466065814569
5033,4397,443,8.66774965949881
5034,1166,45,2.7625538562264524
5035,1608,133,4.749307801113685
5036,2567,41,2.6369167860742944
5037,1990,630,10.336530042510542
5038,15973,591,10.0114789126771
5039,11491,1660,16.778708943973363
5040,1238,40,2.604560753507695
5041,16329,364,7.8569716901796465
5042,7605,631,10.344730384968516
5043,2660,5873,31.559818499556894
5044,12808,297,7.097129358863403
5045,1853,905,12.388786997154805
5046,2542,1615,16.549724167430107
5047,10319,1012,13.100707575678044
5048,1529,209,5.953572402790882
5049,1800,94,3.992716029092796
5050,8666,218,6.080408301831672
5051,2920,68,3.395931745752758
5052,2330,1111,13.726554096430815
5053,6842,923,12.511383807728569
5054,2927,3278,23.57810900175193
5055,2090,4921,28.888911537467354
5056,1259,219,6.094338236014746
5057,15472,299,7.120985323140084
5058,1500,61,3.2163952642728275
5059,1842,118,4.473480001095577
5060,12419,372,7.942842783539588
5061,1353,481,9.031856622119212
5062,1466,62,3.2426519878032685
5063,9719,748,11.263031414318489
5064,1884,86,3.819035735003279
5065,10435,672,10.675522323257594
5066,2294,314,7.297419629012278
5067,12500,274,6.816787844959026
